TABLEU,C1_AGE,C1_RANKING,C1_HANDNESS,C1_WEAPON,C2_AGE,C2_RANKING,C2_HANDNESS,C2_WEAPON,WINNER
16,20,291,0.0,0.0,22,259,0.0,0.0,1.0
16,24,135,0.0,0.0,27,293,0.0,0.0,0.0
16,22,286,0.0,0.0,23,121,0.0,0.0,1.0
16,22,230,0.0,0.0,25,60,0.0,0.0,1.0
16,20,297,0.0,0.0,31,100,0.0,0.0,1.0
8,28,31,0.0,0.0,17,231,0.0,0.0,0.0
8,29,24,0.0,0.0,22,259,0.0,0.0,0.0
8,24,135,0.0,0.0,23,121,0.0,0.0,1.0
8,25,60,0.0,0.0,31,100,0.0,0.0,0.0
4,28,31,0.0,0.0,29,24,0.0,0.0,0.0
4,23,121,0.0,0.0,25,60,0.0,0.0,0.0
2,28,31,0.0,0.0,23,121,0.0,0.0,1.0
32,21,118,1.0,2.0,19,557,0.0,2.0,0.0
32,16,535,0.0,2.0,26,477,1.0,2.0,1.0
32,54,510,0.0,2.0,17,475,1.0,2.0,1.0
32,23,365,0.0,2.0,19,514,1.0,2.0,0.0
32,19,588,0.0,2.0,20,303,1.0,2.0,1.0
32,21,490,0.0,2.0,20,491,0.0,2.0,1.0
32,18,545,1.0,2.0,21,316,1.0,2.0,1.0
32,22,413,1.0,2.0,21,304,0.0,2.0,1.0
32,21,159,0.0,2.0,17,507,1.0,2.0,0.0
32,34,122,0.0,2.0,22,143,0.0,2.0,0.0
32,19,582,0.0,2.0,19,258,0.0,2.0,1.0
32,31,76,0.0,2.0,46,524,0.0,2.0,0.0
32,36,481,0.0,2.0,29,50,1.0,2.0,1.0
16,21,118,1.0,2.0,26,477,1.0,2.0,0.0
16,17,475,1.0,2.0,23,365,0.0,2.0,1.0
16,20,303,1.0,2.0,25,467,0.0,2.0,0.0
16,20,491,0.0,2.0,21,316,1.0,2.0,1.0
16,21,304,0.0,2.0,21,159,0.0,2.0,1.0
16,34,122,0.0,2.0,19,258,0.0,2.0,0.0
16,31,76,0.0,2.0,29,50,1.0,2.0,1.0
8,21,118,1.0,2.0,23,365,0.0,2.0,0.0
8,21,316,1.0,2.0,21,159,0.0,2.0,1.0
8,34,122,0.0,2.0,29,50,1.0,2.0,1.0
4,21,159,0.0,2.0,29,50,1.0,2.0,1.0
32,20,151,0.0,1.0,29,384,1.0,1.0,0.0
32,18,277,1.0,1.0,19,404,0.0,1.0,0.0
32,26,284,0.0,1.0,17,380,0.0,1.0,1.0
32,23,278,0.0,1.0,24,145,0.0,1.0,1.0
32,25,124,0.0,1.0,27,91,0.0,1.0,0.0
32,20,442,0.0,1.0,27,276,0.0,1.0,1.0
32,19,398,0.0,1.0,22,57,0.0,1.0,1.0
32,31,205,0.0,1.0,21,90,0.0,1.0,1.0
32,18,376,0.0,1.0,20,107,1.0,1.0,0.0
32,18,103,0.0,1.0,21,134,1.0,1.0,0.0
32,18,424,0.0,1.0,28,64,1.0,1.0,1.0
32,24,206,0.0,1.0,28,102,0.0,1.0,1.0
32,20,204,0.0,1.0,30,31,0.0,1.0,1.0
32,25,389,0.0,1.0,19,371,0.0,1.0,1.0
32,17,431,0.0,1.0,20,281,0.0,1.0,1.0
16,20,151,0.0,1.0,18,277,1.0,1.0,0.0
16,17,380,0.0,1.0,18,291,0.0,1.0,1.0
16,24,145,0.0,1.0,25,124,0.0,1.0,1.0
16,27,276,0.0,1.0,22,57,0.0,1.0,1.0
16,21,90,0.0,1.0,18,376,0.0,1.0,0.0
16,18,103,0.0,1.0,28,64,1.0,1.0,1.0
16,28,102,0.0,1.0,30,31,0.0,1.0,0.0
16,19,371,0.0,1.0,20,281,0.0,1.0,1.0
8,20,151,0.0,1.0,18,291,0.0,1.0,0.0
8,25,124,0.0,1.0,22,57,0.0,1.0,0.0
8,21,90,0.0,1.0,28,64,1.0,1.0,1.0
8,28,102,0.0,1.0,20,281,0.0,1.0,0.0
4,20,151,0.0,1.0,25,124,0.0,1.0,0.0
4,28,64,1.0,1.0,28,102,0.0,1.0,1.0
2,20,151,0.0,1.0,28,102,0.0,1.0,0.0
32,19,382,0.0,1.0,17,395,0.0,1.0,0.0
32,22,270,0.0,1.0,18,403,1.0,1.0,0.0
32,23,386,0.0,1.0,22,115,0.0,1.0,0.0
32,25,378,0.0,1.0,18,399,0.0,1.0,0.0
16,20,218,1.0,1.0,19,382,0.0,1.0,0.0
16,19,106,1.0,1.0,24,163,1.0,1.0,0.0
16,21,128,1.0,1.0,18,372,1.0,1.0,0.0
16,22,270,0.0,1.0,26,199,0.0,1.0,1.0
16,17,301,0.0,1.0,23,386,0.0,1.0,0.0
16,16,370,0.0,1.0,28,207,0.0,1.0,1.0
16,17,181,1.0,1.0,18,368,1.0,1.0,0.0
16,25,378,0.0,1.0,17,198,0.0,1.0,1.0
8,20,218,1.0,1.0,19,106,1.0,1.0,0.0
8,21,128,1.0,1.0,26,199,0.0,1.0,0.0
8,17,301,0.0,1.0,28,207,0.0,1.0,1.0
8,17,181,1.0,1.0,17,198,0.0,1.0,0.0
4,20,218,1.0,1.0,21,128,1.0,1.0,0.0
4,28,207,0.0,1.0,17,181,1.0,1.0,1.0
2,20,218,1.0,1.0,17,181,1.0,1.0,1.0
32,21,47,0.0,2.0,26,263,0.0,2.0,0.0
32,29,598,0.0,2.0,17,497,0.0,2.0,1.0
32,20,512,0.0,2.0,33,225,0.0,2.0,1.0
32,36,227,0.0,2.0,30,110,0.0,2.0,1.0
32,21,304,0.0,2.0,21,493,0.0,2.0,1.0
32,21,165,0.0,2.0,22,519,0.0,2.0,0.0
32,27,412,0.0,2.0,29,32,0.0,2.0,1.0
32,26,139,1.0,2.0,21,310,0.0,2.0,1.0
32,38,126,0.0,2.0,24,152,0.0,2.0,0.0
32,26,182,0.0,2.0,20,417,0.0,2.0,0.0
32,22,370,0.0,2.0,21,383,0.0,2.0,0.0
32,30,174,0.0,2.0,20,508,0.0,2.0,0.0
32,23,75,1.0,2.0,25,171,1.0,2.0,0.0
32,21,543,0.0,2.0,22,70,1.0,2.0,1.0
32,25,371,0.0,2.0,21,418,0.0,2.0,0.0
32,24,115,0.0,2.0,26,141,0.0,2.0,1.0
16,21,47,0.0,2.0,17,497,0.0,2.0,0.0
16,33,225,0.0,2.0,30,110,0.0,2.0,0.0
16,21,493,0.0,2.0,21,165,0.0,2.0,1.0
16,29,32,0.0,2.0,21,310,0.0,2.0,1.0
16,38,126,0.0,2.0,26,182,0.0,2.0,0.0
16,22,370,0.0,2.0,30,174,0.0,2.0,1.0
16,23,75,1.0,2.0,22,70,1.0,2.0,1.0
16,25,371,0.0,2.0,26,141,0.0,2.0,1.0
8,21,47,0.0,2.0,33,225,0.0,2.0,0.0
8,21,165,0.0,2.0,21,310,0.0,2.0,1.0
8,38,126,0.0,2.0,30,174,0.0,2.0,0.0
8,22,70,1.0,2.0,26,141,0.0,2.0,0.0
4,21,47,0.0,2.0,21,310,0.0,2.0,0.0
4,38,126,0.0,2.0,22,70,1.0,2.0,1.0
2,21,47,0.0,2.0,22,70,1.0,2.0,0.0
32,19,229,0.0,0.0,21,336,0.0,0.0,0.0
32,19,295,0.0,0.0,22,277,0.0,0.0,0.0
32,18,94,0.0,0.0,18,321,1.0,0.0,0.0
32,18,321,0.0,0.0,20,288,0.0,0.0,1.0
32,19,303,0.0,0.0,19,264,0.0,0.0,1.0
32,22,230,0.0,0.0,23,285,0.0,0.0,0.0
32,38,311,0.0,0.0,18,299,0.0,0.0,1.0
32,18,331,0.0,0.0,29,24,0.0,0.0,1.0
32,23,76,1.0,0.0,18,333,0.0,0.0,0.0
32,18,318,0.0,0.0,26,131,0.0,0.0,1.0
32,26,305,0.0,0.0,20,260,0.0,0.0,1.0
32,18,329,0.0,0.0,20,275,0.0,0.0,1.0
32,24,135,0.0,0.0,18,327,0.0,0.0,0.0
32,26,319,0.0,0.0,20,101,0.0,0.0,1.0
32,17,292,0.0,0.0,19,242,1.0,0.0,0.0
32,20,297,0.0,0.0,23,44,0.0,0.0,1.0
16,19,229,0.0,0.0,19,295,0.0,0.0,0.0
16,18,94,0.0,0.0,20,288,0.0,0.0,0.0
16,19,264,0.0,0.0,22,230,0.0,0.0,1.0
16,18,299,0.0,0.0,29,24,0.0,0.0,1.0
16,23,76,1.0,0.0,26,131,0.0,0.0,1.0
16,20,260,0.0,0.0,20,275,0.0,0.0,0.0
16,24,135,0.0,0.0,20,101,0.0,0.0,1.0
16,17,292,0.0,0.0,23,44,0.0,0.0,1.0
8,19,229,0.0,0.0,18,94,0.0,0.0,0.0
8,22,230,0.0,0.0,29,24,0.0,0.0,1.0
8,26,131,0.0,0.0,20,260,0.0,0.0,0.0
8,20,101,0.0,0.0,23,44,0.0,0.0,1.0
4,19,229,0.0,0.0,29,24,0.0,0.0,1.0
4,26,131,0.0,0.0,23,44,0.0,0.0,1.0
2,29,24,0.0,0.0,23,44,0.0,0.0,0.0
32,24,24,0.0,0.0,23,379,0.0,0.0,0.0
32,25,120,0.0,0.0,21,317,0.0,0.0,0.0
32,30,82,0.0,0.0,17,383,0.0,0.0,0.0
32,23,306,0.0,0.0,31,87,0.0,0.0,1.0
32,23,55,0.0,0.0,20,189,0.0,0.0,0.0
32,18,123,0.0,0.0,18,338,0.0,0.0,0.0
32,19,342,0.0,0.0,19,289,0.0,0.0,1.0
32,21,196,0.0,0.0,21,53,0.0,0.0,1.0
32,21,70,0.0,0.0,18,372,0.0,0.0,0.0
32,20,154,0.0,0.0,28,255,0.0,0.0,0.0
32,26,57,0.0,0.0,19,386,0.0,0.0,0.0
32,22,48,0.0,0.0,24,122,1.0,0.0,1.0
32,19,285,0.0,0.0,32,334,0.0,0.0,0.0
32,19,331,0.0,0.0,17,336,0.0,0.0,0.0
32,24,210,0.0,0.0,23,64,0.0,0.0,1.0
32,26,95,1.0,0.0,18,195,0.0,0.0,1.0
16,24,24,0.0,0.0,25,120,0.0,0.0,1.0
16,30,82,0.0,0.0,31,87,0.0,0.0,1.0
16,23,55,0.0,0.0,18,123,0.0,0.0,0.0
16,19,289,0.0,0.0,21,53,0.0,0.0,1.0
16,21,70,0.0,0.0,20,154,0.0,0.0,1.0
16,26,57,0.0,0.0,24,122,1.0,0.0,1.0
16,19,285,0.0,0.0,19,331,0.0,0.0,0.0
16,23,64,0.0,0.0,18,195,0.0,0.0,1.0
8,25,120,0.0,0.0,31,87,0.0,0.0,0.0
8,23,55,0.0,0.0,21,53,0.0,0.0,0.0
8,20,154,0.0,0.0,24,122,1.0,0.0,1.0
8,19,285,0.0,0.0,18,195,0.0,0.0,1.0
4,25,120,0.0,0.0,23,55,0.0,0.0,1.0
4,24,122,1.0,0.0,18,195,0.0,0.0,0.0
2,23,55,0.0,0.0,24,122,1.0,0.0,0.0
